[2025-07-30 22:31:28,613] DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.24.0'), (b'Date', b'Wed, 30 Jul 2025 19:31:29 GMT'), (b'Content-Type', b'image/jpeg'), (b'Content-Length', b'173785'), (b'Last-Modified', b'Thu, 15 May 2025 13:45:11 GMT'), (b'Connection', b'keep-alive'), (b'ETag', b'"6825efe7-2a6d9"'), (b'Strict-Transport-Security', b'max-age=15724800'), (b'Content-Security-Policy-Report-Only', b"report-uri https://archive.org/services/csp-report; default-src *; img-src * data: blob:; object-src 'none'; media-src * blob:; connect-src * data:; style-src 'unsafe-inline' https://archive.org/ https://ia600800.us.archive.org https://esm.archive.org/ https://esm.ext.archive.org/ https://offshoot.prod.archive.org/ https://av.archive.org/css/ https://av.dev.archive.org/css/ https://accounts.google.com/gsi/ https://synerg.adp.com/; script-src 'nonce-771df9236e0c6f79ba8bbbcfd678a6f8' https://archive.org/includes/ https://ia600800.us.archive.org/includes/ https://archive.org/components/ https://ia600800.us.archive.org/components/ https://archive.org/v/ https://ia600800.us.archive.org/v/ https://ia600800.us.archive.org/upload/app/ https://archive.org/offshoot_assets/ https://ia600800.us.archive.org/offshoot_assets/ https://esm.archive.org/ https://esm.ext.archive.org/ https://polyfill.archive.org/v3/polyfill.min.js https://offshoot.prod.archive.org/ https://av.archive.org/ https://av.dev.archive.org/ https://openlibrary.org/query.json https://emularity-engine.ux-b.archive.org/ https://emularity-config.ux-b.archive.org/ https://emularity-bios.ux-b.archive.org/ https://archive.org/services/emularity/ https://ia600800.us.archive.org/services/emularity/ 'wasm-unsafe-eval' 'sha256-CoX53XgCdkM1zegYEEpMUeYIZnv663inNm8bQv2VRbM=' https://accounts.google.com/gsi/ https://www.google.com/recaptcha/ https://www.gstatic.com/recaptcha/ https://workforcenow.adp.com/ https://synerg.adp.com/ https://apollo.archive.org"), (b'Expires', b'Thu, 31 Jul 2025 01:31:29 GMT'), (b'Cache-Control', b'max-age=21600'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Headers', b'Accept-Encoding,Accept-Language,Authorization,Baggage,Cache-Control,Content-Length,Content-Range,DNT,Pragma,Range,Sentry-Trace,X-Requested-With'), (b'Access-Control-Allow-Credentials', b'true'), (b'Accept-Ranges', b'bytes')])
[2025-07-30 22:31:28,613] INFO - HTTP Request: GET https://ia600800.us.archive.org/29/items/mbid-0a91eab7-f566-4dd2-93b9-8b69a3f0f891/mbid-0a91eab7-f566-4dd2-93b9-8b69a3f0f891-41978780364.jpg "HTTP/1.1 200 OK"
[2025-07-30 22:31:28,613] DEBUG - receive_response_body.started request=<Request [b'GET']>
[2025-07-30 22:31:28,996] DEBUG - receive_response_body.complete
[2025-07-30 22:31:28,996] DEBUG - response_closed.started
[2025-07-30 22:31:28,996] DEBUG - response_closed.complete
[2025-07-30 22:31:29,004] DEBUG - close.started
[2025-07-30 22:31:29,004] DEBUG - close.complete
[2025-07-30 22:31:29,004] DEBUG - close.started
[2025-07-30 22:31:29,004] DEBUG - close.complete
[2025-07-30 22:31:29,004] DEBUG - close.started
[2025-07-30 22:31:29,004] DEBUG - close.complete
[2025-07-30 22:31:31,173] DEBUG - Using proactor: IocpProactor
[2025-07-30 22:31:34,124] DEBUG - subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-i', 'C:\\Users\\Lima148\\Desktop\\Scripts\\Python\\MusicTagEditor\\testFolder\\1.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
[2025-07-30 22:31:34,488] DEBUG - subprocess.call(['ffmpeg', '-y', '-f', 'wav', '-i', 'C:\\Users\\Lima148\\AppData\\Local\\Temp\\tmpgn6wix8t', '-f', 'mp3', 'C:\\Users\\Lima148\\AppData\\Local\\Temp\\tmpemec77sd'])
